"YEAR","SEX","AGE","RACE","HISPAN","EDUC","EMPSTAT","INCTOT","FTOTINC"
2010,2,24,1,0,10,1,30000,30000
2010,2,53,2,0,8,2,25700,25700
2010,2,24,2,0,11,3,2500,NA
2010,2,22,1,0,10,1,10400,10400
2010,1,23,1,0,7,1,20000,10400
2010,2,20,1,0,7,3,0,NA
2010,2,60,1,0,6,1,10100,10100
2010,2,55,1,0,7,1,60000,60000
2010,1,36,1,4,10,1,110200,170200
2010,2,33,1,0,10,1,60000,170200
2010,1,61,1,0,8,1,32650,95650
2010,2,58,1,0,11,1,63000,95650
2010,1,50,2,0,6,2,4000,4000
2010,1,47,2,0,6,2,3500,3500
2010,2,63,1,0,10,1,38000,38000
2010,1,35,1,0,11,1,23000,78000
2010,2,34,1,0,11,1,55000,78000
2010,1,41,1,0,6,3,890,890
2010,2,11,3,0,1,0,NA,NA
2010,1,59,1,0,6,3,14820,14820
2010,1,33,1,0,7,1,5000,5000
2010,2,40,1,0,11,1,50904,50904
2010,2,64,2,0,2,3,11400,11400
2010,1,39,1,0,10,1,63000,63000
2010,1,38,1,0,10,1,89000,63000
2010,2,18,1,0,7,2,2000,NA
2010,2,18,3,0,7,2,1500,NA
2010,1,33,1,0,10,1,234000,234000
2010,1,24,1,0,10,3,0,0
2010,2,24,1,0,10,3,0,0
2010,2,58,1,0,11,1,69800,191100
2010,1,60,1,0,11,1,100800,191100
2010,2,27,1,0,11,1,20500,191100
2010,2,74,1,0,7,3,9600,9600
2010,1,46,1,0,8,2,0,9600
2010,2,51,1,0,11,1,52000,52000
2010,1,19,1,0,7,1,10100,NA
2010,2,18,1,1,6,3,3000,NA
2010,1,58,1,0,7,3,48000,48000
2010,2,58,1,0,5,3,0,48000
2010,1,53,1,0,6,3,6800,NA
2010,1,43,1,0,6,1,60000,60000
2010,1,58,1,0,10,3,37200,55000
2010,2,57,1,0,7,3,17800,55000
2010,2,54,1,0,6,2,19500,57300
2010,1,56,1,0,6,1,30000,57300
2010,1,33,1,0,6,3,7800,57300
2010,1,27,1,0,7,1,30000,65000
2010,2,25,1,0,10,1,35000,65000
2010,1,51,1,0,10,1,241000,396000
2010,2,46,1,0,10,1,155000,396000
2010,1,12,1,0,2,0,NA,396000
2010,1,43,1,0,11,2,20800,20800
2010,2,44,1,0,11,1,54200,54200
2010,2,28,1,0,10,1,23020,23020
2010,2,28,1,0,10,1,25100,23020
