"YEAR","SEX","AGE","RACE","HISPAN","EDUC","EMPSTAT","INCTOT","FTOTINC"
2019,1,23,1,0,10,1,80000,80000
2019,1,66,1,0,11,1,78500,78500
2019,1,54,1,0,10,3,9800,9800
2019,2,95,1,0,6,3,36000,38200
2019,1,64,1,0,6,3,2200,38200
2019,2,24,1,0,6,1,30000,30000
2019,1,26,1,1,7,1,24000,24000
2019,2,75,1,0,6,3,18300,18300
2019,1,20,1,0,7,1,5200,5200
2019,1,20,1,0,7,1,5000,5000
2019,1,20,1,1,7,1,20000,20000
2019,1,19,1,0,7,3,4700,4700
2019,2,27,2,0,6,1,14100,14100
2019,1,60,1,0,10,1,45000,45000
2019,1,43,1,0,10,2,80000,180000
2019,2,37,1,0,10,1,1e+05,180000
2019,1,57,1,4,0,1,126900,126900
2019,2,33,1,0,11,2,65300,65300
2019,1,36,1,0,11,1,177000,65300
2019,1,26,1,0,11,1,48000,48000
2019,1,27,1,0,7,1,40000,40000
2019,1,37,1,4,11,1,210500,210500
2019,2,22,1,0,10,1,12200,12200
2019,2,22,1,0,10,1,7090,7090
2019,1,45,1,0,10,1,160000,238000
2019,2,47,1,0,10,1,78000,238000
2019,1,12,1,0,2,0,NA,238000
2019,1,9,1,0,1,0,NA,238000
2019,2,56,1,0,11,1,195000,195000
2019,1,26,1,1,10,1,70000,70000
2019,2,66,1,0,11,1,103900,103900
2019,2,51,1,0,10,1,42000,42000
2019,1,34,3,0,10,1,102100,147100
2019,2,29,3,0,11,1,45000,147100
2019,1,31,1,0,10,1,107500,165500
2019,2,31,1,0,11,1,58000,165500
2019,1,32,1,0,11,1,48190,48190
2019,2,33,1,0,10,1,90000,48190
2019,1,42,1,0,7,1,20000,111000
2019,2,41,1,0,11,1,91000,111000
2019,2,40,3,0,10,1,48000,78000
2019,1,41,1,0,0,1,30000,78000
2019,2,15,3,0,3,0,0,78000
2019,2,13,3,0,2,0,NA,78000
2019,1,11,3,0,2,0,NA,78000
2019,1,53,1,0,7,3,14500,175500
2019,2,55,1,0,10,1,161000,175500
2019,2,95,1,0,6,3,57500,132900
2019,1,95,1,0,6,3,75400,132900
2019,2,61,1,0,8,1,73000,147400
2019,1,59,1,0,8,1,61400,147400
2019,2,24,1,0,11,1,13000,147400
2019,1,33,1,0,11,1,28000,119000
2019,2,34,1,0,11,1,91000,119000
2019,1,2,1,0,0,0,NA,119000
2019,1,27,1,0,10,1,86500,86500
2019,1,40,1,0,8,1,170000,318500
2019,2,39,1,0,11,1,148500,318500
2019,2,8,1,0,1,0,NA,318500
2019,1,6,1,0,1,0,NA,318500
2019,1,1,1,0,0,0,NA,318500
2019,2,85,1,0,7,3,48500,48500
2019,1,53,1,0,10,1,90000,112000
2019,2,53,1,0,10,1,22000,112000
2019,1,38,3,0,10,1,27600,84800
2019,1,41,3,0,6,1,48000,84800
2019,2,68,3,0,11,3,9200,84800
2019,1,33,1,0,6,1,27500,67500
2019,2,31,1,0,7,1,40000,67500
2019,1,57,1,0,10,1,108050,127050
2019,1,26,1,0,7,1,19000,127050
2019,1,35,2,0,6,1,62000,77300
2019,2,33,2,0,8,1,15300,77300
2019,1,2,2,0,0,0,NA,77300
2019,1,35,2,0,0,1,65000,65000
2019,1,68,1,0,6,3,22300,22300
2019,2,42,1,0,6,1,60000,90000
2019,1,49,3,0,8,1,30000,90000
2019,2,6,3,0,1,0,NA,90000
2019,1,43,3,0,6,1,75000,101600
2019,2,39,3,4,6,1,26600,101600
2019,2,17,3,4,5,3,0,101600
2019,1,12,3,4,2,0,NA,101600
2019,1,71,1,0,6,1,16600,16600
2019,1,73,1,0,11,1,97500,169890
2019,2,69,1,0,11,1,72390,169890
2019,2,95,3,3,0,3,28400,52400
2019,2,95,3,3,8,3,24000,52400
2019,2,95,3,0,6,3,0,0
2019,2,95,3,2,6,3,24000,24000
2019,1,70,1,0,7,1,26200,26200
2019,2,77,1,0,11,3,5700,15700
2019,1,71,3,0,7,3,10000,15700
2019,2,28,1,0,10,1,40000,40000
2019,2,45,1,0,7,1,67000,67000
2019,2,15,1,0,3,0,0,67000
2019,1,12,1,0,2,0,NA,67000
2019,2,28,1,0,10,1,20000,53600
2019,1,27,1,0,7,1,33600,53600
2019,1,59,1,0,6,1,70500,94000
2019,2,53,1,0,8,1,23500,94000
2019,2,64,1,0,8,1,48400,48400
2019,1,23,2,0,10,3,0,5000
2019,2,7,2,0,1,0,NA,5000
2019,2,3,2,0,1,0,NA,5000
2019,2,2,2,0,0,0,NA,5000
2019,2,46,2,0,6,3,5000,5000
2019,2,29,1,0,7,1,53600,103600
2019,1,27,1,0,8,1,50000,103600
2019,2,7,1,0,1,0,NA,103600
2019,2,2,1,0,0,0,NA,103600
2019,1,31,1,0,7,1,17800,17800
2019,1,35,3,4,6,1,24000,24000
2019,2,41,3,4,6,3,6200,24000
2019,1,14,3,4,2,0,NA,24000
2019,1,2,3,4,0,0,NA,24000
2019,1,54,3,4,0,1,32000,24000
2019,2,50,1,0,10,1,44600,84400
2019,1,69,1,0,10,1,39800,84400
2019,1,66,1,0,6,1,94600,104200
2019,2,66,1,0,7,3,9600,104200
2019,2,88,1,0,6,3,85000,85000
2019,2,47,1,0,7,1,60000,60000
2019,2,13,1,0,2,0,NA,60000
2019,1,10,1,0,1,0,NA,60000
2019,2,6,1,0,1,0,NA,60000
2019,2,52,3,0,11,1,57700,57700
2019,2,64,1,0,8,3,17900,43100
2019,1,71,1,0,6,3,25200,43100
2019,1,43,1,0,11,1,160000,260000
2019,2,41,1,0,11,1,1e+05,260000
2019,2,9,1,0,1,0,NA,260000
2019,2,6,1,0,1,0,NA,260000
2019,2,23,3,0,11,1,15400,60400
2019,1,23,1,0,6,1,45000,60400
2019,1,25,3,0,11,1,87000,87000
2019,1,64,1,0,10,1,9200,70200
